x,y,heading,curvature
1.727152129728560581e+01,-8.635251288819210558e+00,5.911996499186106258e-01,-1.541590252125536915e-02
1.737364662351938094e+01,-8.566756684217068596e+00,5.909002196051942324e-01,1.054271296754632006e-02
1.747565465967858955e+01,-8.498155935822213181e+00,5.934462041180750269e-01,2.291704369075053468e-02
1.757741150418845422e+01,-8.429327142450192767e+00,5.958415753291093075e-01,1.607321098213090882e-02
1.767898395102747955e+01,-8.360330460765025506e+00,5.973934619766573251e-01,9.199461915808988463e-03
1.778045141532074780e+01,-8.291237496507456228e+00,5.980999498778848400e-01,2.308896665310640299e-03
1.788189331219333056e+01,-8.222119855418229761e+00,5.979601876280840056e-01,-4.585610011514845881e-03
1.798338316820677463e+01,-8.153043958358809462e+00,5.972351181300087353e-01,-5.508001181307097156e-03
1.808493621035385246e+01,-8.084024893429454295e+00,5.966502606738172121e-01,-4.018758662040606243e-03
1.818653437332896061e+01,-8.015048434866864469e+00,5.962481038254390242e-01,-2.531250762755654724e-03
1.828815920233410708e+01,-7.946100013959768837e+00,5.960285341673268178e-01,-1.044709021480649726e-03
1.838979224257282041e+01,-7.877165061997048134e+00,5.959914986563605854e-01,4.367796783724921727e-04
1.849141724004461906e+01,-7.808229222119837054e+00,5.961028513941559748e-01,1.376820346084251488e-03
1.859302651231415027e+01,-7.739278962582314847e+00,5.963296377829886419e-01,2.316921079237559220e-03
1.869461446344825006e+01,-7.670300952488803503e+00,5.966718518073780286e-01,3.256884237748023780e-03
1.879617549751378291e+01,-7.601281860943629454e+00,5.971294712199975985e-01,4.196510814583150582e-03
1.889770423975354774e+01,-7.532208743932218731e+00,5.976669577478126438e-01,3.244572158977417423e-03
1.899921165960143199e+01,-7.463097246708085386e+00,5.977433054999725659e-01,-2.001029268354090774e-03
1.910073600583012876e+01,-7.394010731559252925e+00,5.971754877865304012e-01,-7.246931837405335905e-03
1.920231811697023616e+01,-7.325017090779686768e+00,5.959634084665714759e-01,-1.249479811404627730e-02
1.930399883155232743e+01,-7.256184216663349673e+00,5.941068401336486726e-01,-1.774615655033488087e-02
1.940581174572360013e+01,-7.187568108243023168e+00,5.921695461740835720e-01,-7.750800229873463544e-03
1.950768319094785141e+01,-7.119048617166916060e+00,5.924492089943397266e-01,1.230630503127691337e-02
1.960945748655427323e+01,-7.050370916803680998e+00,5.951909745244129413e-01,3.235137524781822593e-02
1.971097687435366197e+01,-6.981276768873136973e+00,6.003929368956537616e-01,5.236098269180989445e-02
1.981208359615682468e+01,-6.911507935095097643e+00,6.080509513079722650e-01,7.230299994382238804e-02
1.991271059961671241e+01,-6.840954529375197879e+00,6.134503885379611887e-01,7.031724477755573431e-03
2.001328228370576667e+01,-6.770310449319519641e+00,6.097216142251128401e-01,-6.773872276670450665e-02
2.011438871587489885e+01,-6.700540548409905206e+00,5.967938842912688946e-01,-1.428149497819849179e-01
2.021662009035033591e+01,-6.632609887473138954e+00,5.746359617069324299e-01,-2.182817929354501085e-01
2.032056515092325100e+01,-6.567481155874567378e+00,5.435764814779873166e-01,-2.649042550885922220e-01
2.042649009751681888e+01,-6.505589683729690265e+00,5.154743886696202537e-01,-1.931877899857172287e-01
2.053393395606243388e+01,-6.446181871619678816e+00,4.961545010725946225e-01,-1.215997635741875582e-01
2.064233618244321988e+01,-6.388341323088831736e+00,4.855919261761902361e-01,-5.040090315335091914e-02
2.075113623254227591e+01,-6.331151641681432629e+00,4.837592878482647185e-01,2.056752723792895296e-02
2.085977527860376313e+01,-6.273699235468769508e+00,4.903221517749271618e-01,6.968165835562173394e-02
2.096791554154897597e+01,-6.215431705166169607e+00,4.977200209354286087e-01,5.075166228905376303e-02
2.107565593697836803e+01,-6.156510208827723929e+00,5.027867190091926952e-01,3.175966952710492647e-02
2.118314660023064633e+01,-6.097179597352611502e+00,5.055184215694693561e-01,1.273475401032796162e-02
2.129053766664453562e+01,-6.037684721640010466e+00,5.059133394342081314e-01,-6.301704205824703621e-03
